sample_id,image_relpath,mask_relpath,dataset,split,grade,source_partition
GlaS_official_train_train_1,datasets/01_GlaS_official_raw/train_1.bmp,datasets/01_GlaS_official_raw/train_1_anno.bmp,GlaS,train68,malignant,official_train
GlaS_official_train_train_10,datasets/01_GlaS_official_raw/train_10.bmp,datasets/01_GlaS_official_raw/train_10_anno.bmp,GlaS,train68,malignant,official_train
GlaS_official_train_train_11,datasets/01_GlaS_official_raw/train_11.bmp,datasets/01_GlaS_official_raw/train_11_anno.bmp,GlaS,train68,malignant,official_train
GlaS_official_train_train_12,datasets/01_GlaS_official_raw/train_12.bmp,datasets/01_GlaS_official_raw/train_12_anno.bmp,GlaS,train68,benign,official_train
GlaS_official_train_train_13,datasets/01_GlaS_official_raw/train_13.bmp,datasets/01_GlaS_official_raw/train_13_anno.bmp,GlaS,train68,malignant,official_train
GlaS_official_train_train_15,datasets/01_GlaS_official_raw/train_15.bmp,datasets/01_GlaS_official_raw/train_15_anno.bmp,GlaS,train68,benign,official_train
GlaS_official_train_train_17,datasets/01_GlaS_official_raw/train_17.bmp,datasets/01_GlaS_official_raw/train_17_anno.bmp,GlaS,train68,malignant,official_train
GlaS_official_train_train_18,datasets/01_GlaS_official_raw/train_18.bmp,datasets/01_GlaS_official_raw/train_18_anno.bmp,GlaS,train68,malignant,official_train
GlaS_official_train_train_19,datasets/01_GlaS_official_raw/train_19.bmp,datasets/01_GlaS_official_raw/train_19_anno.bmp,GlaS,train68,malignant,official_train
GlaS_official_train_train_2,datasets/01_GlaS_official_raw/train_2.bmp,datasets/01_GlaS_official_raw/train_2_anno.bmp,GlaS,train68,benign,official_train
GlaS_official_train_train_20,datasets/01_GlaS_official_raw/train_20.bmp,datasets/01_GlaS_official_raw/train_20_anno.bmp,GlaS,train68,benign,official_train
GlaS_official_train_train_22,datasets/01_GlaS_official_raw/train_22.bmp,datasets/01_GlaS_official_raw/train_22_anno.bmp,GlaS,train68,benign,official_train
GlaS_official_train_train_23,datasets/01_GlaS_official_raw/train_23.bmp,datasets/01_GlaS_official_raw/train_23_anno.bmp,GlaS,train68,malignant,official_train
GlaS_official_train_train_24,datasets/01_GlaS_official_raw/train_24.bmp,datasets/01_GlaS_official_raw/train_24_anno.bmp,GlaS,train68,malignant,official_train
GlaS_official_train_train_26,datasets/01_GlaS_official_raw/train_26.bmp,datasets/01_GlaS_official_raw/train_26_anno.bmp,GlaS,train68,malignant,official_train
GlaS_official_train_train_28,datasets/01_GlaS_official_raw/train_28.bmp,datasets/01_GlaS_official_raw/train_28_anno.bmp,GlaS,train68,malignant,official_train
GlaS_official_train_train_29,datasets/01_GlaS_official_raw/train_29.bmp,datasets/01_GlaS_official_raw/train_29_anno.bmp,GlaS,train68,malignant,official_train
GlaS_official_train_train_3,datasets/01_GlaS_official_raw/train_3.bmp,datasets/01_GlaS_official_raw/train_3_anno.bmp,GlaS,train68,malignant,official_train
GlaS_official_train_train_30,datasets/01_GlaS_official_raw/train_30.bmp,datasets/01_GlaS_official_raw/train_30_anno.bmp,GlaS,train68,benign,official_train
GlaS_official_train_train_31,datasets/01_GlaS_official_raw/train_31.bmp,datasets/01_GlaS_official_raw/train_31_anno.bmp,GlaS,train68,malignant,official_train
GlaS_official_train_train_32,datasets/01_GlaS_official_raw/train_32.bmp,datasets/01_GlaS_official_raw/train_32_anno.bmp,GlaS,train68,benign,official_train
GlaS_official_train_train_33,datasets/01_GlaS_official_raw/train_33.bmp,datasets/01_GlaS_official_raw/train_33_anno.bmp,GlaS,train68,benign,official_train
GlaS_official_train_train_35,datasets/01_GlaS_official_raw/train_35.bmp,datasets/01_GlaS_official_raw/train_35_anno.bmp,GlaS,train68,malignant,official_train
