sample_id,image_relpath,mask_relpath,dataset,split,grade,source_partition
GlaS_official_testB_testB_1,datasets/01_GlaS_official_raw/testB_1.bmp,datasets/01_GlaS_official_raw/testB_1_anno.bmp,GlaS,testB20,not_applicable,official_testB
GlaS_official_testB_testB_10,datasets/01_GlaS_official_raw/testB_10.bmp,datasets/01_GlaS_official_raw/testB_10_anno.bmp,GlaS,testB20,not_applicable,official_testB
GlaS_official_testB_testB_11,datasets/01_GlaS_official_raw/testB_11.bmp,datasets/01_GlaS_official_raw/testB_11_anno.bmp,GlaS,testB20,not_applicable,official_testB
GlaS_official_testB_testB_12,datasets/01_GlaS_official_raw/testB_12.bmp,datasets/01_GlaS_official_raw/testB_12_anno.bmp,GlaS,testB20,not_applicable,official_testB
GlaS_official_testB_testB_13,datasets/01_GlaS_official_raw/testB_13.bmp,datasets/01_GlaS_official_raw/testB_13_anno.bmp,GlaS,testB20,not_applicable,official_testB
GlaS_official_testB_testB_14,datasets/01_GlaS_official_raw/testB_14.bmp,datasets/01_GlaS_official_raw/testB_14_anno.bmp,GlaS,testB20,not_applicable,official_testB
GlaS_official_testB_testB_15,datasets/01_GlaS_official_raw/testB_15.bmp,datasets/01_GlaS_official_raw/testB_15_anno.bmp,GlaS,testB20,not_applicable,official_testB
GlaS_official_testB_testB_16,datasets/01_GlaS_official_raw/testB_16.bmp,datasets/01_GlaS_official_raw/testB_16_anno.bmp,GlaS,testB20,not_applicable,official_testB
GlaS_official_testB_testB_17,datasets/01_GlaS_official_raw/testB_17.bmp,datasets/01_GlaS_official_raw/testB_17_anno.bmp,GlaS,testB20,not_applicable,official_testB
GlaS_official_testB_testB_18,datasets/01_GlaS_official_raw/testB_18.bmp,datasets/01_GlaS_official_raw/testB_18_anno.bmp,GlaS,testB20,not_applicable,official_testB
GlaS_official_testB_testB_19,datasets/01_GlaS_official_raw/testB_19.bmp,datasets/01_GlaS_official_raw/testB_19_anno.bmp,GlaS,testB20,not_applicable,official_testB
GlaS_official_testB_testB_2,datasets/01_GlaS_official_raw/testB_2.bmp,datasets/01_GlaS_official_raw/testB_2_anno.bmp,GlaS,testB20,not_applicable,official_testB
GlaS_official_testB_testB_20,datasets/01_GlaS_official_raw/testB_20.bmp,datasets/01_GlaS_official_raw/testB_20_anno.bmp,GlaS,testB20,not_applicable,official_testB
GlaS_official_testB_testB_3,datasets/01_GlaS_official_raw/testB_3.bmp,datasets/01_GlaS_official_raw/testB_3_anno.bmp,GlaS,testB20,not_applicable,official_testB
GlaS_official_testB_testB_4,datasets/01_GlaS_official_raw/testB_4.bmp,datasets/01_GlaS_official_raw/testB_4_anno.bmp,GlaS,testB20,not_applicable,official_testB
GlaS_official_testB_testB_5,datasets/01_GlaS_official_raw/testB_5.bmp,datasets/01_GlaS_official_raw/testB_5_anno.bmp,GlaS,testB20,not_applicable,official_testB
GlaS_official_testB_testB_6,datasets/01_GlaS_official_raw/testB_6.bmp,datasets/01_GlaS_official_raw/testB_6_anno.bmp,GlaS,testB20,not_applicable,official_testB
GlaS_official_testB_testB_7,datasets/01_GlaS_official_raw/testB_7.bmp,datasets/01_GlaS_official_raw/testB_7_anno.bmp,GlaS,testB20,not_applicable,official_testB
GlaS_official_testB_testB_8,datasets/01_GlaS_official_raw/testB_8.bmp,datasets/01_GlaS_official_raw/testB_8_anno.bmp,GlaS,testB20,not_applicable,official_testB
GlaS_official_testB_testB_9,datasets/01_GlaS_official_raw/testB_9.bmp,datasets/01_GlaS_official_raw/testB_9_anno.bmp,GlaS,testB20,not_applicable,official_testB
