epoch,epoch_train_loss,epoch_loss_bce,epoch_loss_dice,epoch_loss_boundary,epoch_loss_distance,lr,batch_size,amp,epoch_time_sec
1,0.9926433300270754,0.5731601522249334,0.4107016465243171,0.0,0.08781539161196526,0.001,2,true,7.2293
2,0.7977274726418888,0.4715160245404524,0.32268507077413444,0.0,0.035263811402461105,0.001,2,true,6.5639
3,0.7254713510765749,0.4397066393319298,0.2830398152856266,0.0,0.02724900852669688,0.001,2,true,6.6875
4,0.6842768911053153,0.41977522828999686,0.2619252415264354,0.0,0.025764237678445438,0.001,2,true,6.7619
5,0.6772738011444316,0.42476168800802794,0.25020332897410674,0.0,0.023087907856439844,0.001,2,true,6.8259
6,0.5877940795000862,0.36380350852713866,0.2217138690107009,0.0,0.022767005050007033,0.001,2,true,7.0156
7,0.5923770201556823,0.37334245837786617,0.216926609768587,0.0,0.021079564850558254,0.001,2,true,6.6467
8,0.5372243611251607,0.340967038536773,0.1942522183937185,0.0,0.020051045699373764,0.001,2,true,7.0257
9,0.5471520555369994,0.3503272774464944,0.19482861020985773,0.0,0.019961662590503693,0.001,2,true,6.7502
10,0.5186520341564628,0.3361067991046345,0.18061308913371144,0.0,0.019321472849696875,0.001,2,true,6.5808
11,0.49197500593522014,0.315502429709715,0.17450686412699082,0.0,0.019657140899011317,0.001,2,true,6.6388
12,0.515045298372998,0.3334583574358155,0.1796227597138461,0.0,0.019641817081719637,0.001,2,true,6.3579
13,0.5094794736189001,0.329400682274033,0.17810356091050542,0.0,0.01975226402282715,0.001,2,true,6.5671
14,0.44970841749626045,0.28982365591561093,0.15801677458426533,0.0,0.018679895739564124,0.001,2,true,6.5323
15,0.4579046302858521,0.29954418890616474,0.15657340428408453,0.0,0.017870354055262664,0.001,2,true,6.7348
16,0.4528064447290757,0.29595089177874956,0.15503636879079483,0.0,0.018191802452373153,0.001,2,true,7.1846
17,0.46843458536793203,0.3051463181481642,0.16143614579649532,0.0,0.018521165269810486,0.001,2,true,6.778
18,0.5119267798521939,0.3268430623061517,0.18292150076697855,0.0,0.0216221603400567,0.001,2,true,6.4336
19,0.4400754097629996,0.29074569002670403,0.14736270641579347,0.0,0.019670157309840706,0.001,2,true,6.2307
