model_name,dataset,split_role,metric_name,mean,std,n_runs,seeds,config_version,train_proto_version,eval_proto_version,eval_cast_policy,boundary_metric_width,boundary_metric_impl,connected_components_impl,connected_components_connectivity,result_tag,aggregation
resnet34_unet_boundary,GlaS,testA,F1,0.772056,0.022038,3,"3407,1234,2025",boundary_v1,train_proto_v1,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,mean+-std
resnet34_unet_boundary,GlaS,testA,Object Dice,0.837720,0.008138,3,"3407,1234,2025",boundary_v1,train_proto_v1,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,mean+-std
resnet34_unet_boundary,GlaS,testA,Object Hausdorff,69.381167,4.222909,3,"3407,1234,2025",boundary_v1,train_proto_v1,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,mean+-std
resnet34_unet_boundary,GlaS,testA,Dice,0.920440,0.003823,3,"3407,1234,2025",boundary_v1,train_proto_v1,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,mean+-std
resnet34_unet_boundary,GlaS,testA,IoU,0.858161,0.005624,3,"3407,1234,2025",boundary_v1,train_proto_v1,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,mean+-std
resnet34_unet_boundary,GlaS,testA,HD95,33.030353,0.594710,3,"3407,1234,2025",boundary_v1,train_proto_v1,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,mean+-std
resnet34_unet_boundary,GlaS,testA,Boundary F1,0.765863,0.003710,3,"3407,1234,2025",boundary_v1,train_proto_v1,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,mean+-std
resnet34_unet_boundary,GlaS,testB,F1,0.713646,0.029890,3,"3407,1234,2025",boundary_v1,train_proto_v1,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,mean+-std
resnet34_unet_boundary,GlaS,testB,Object Dice,0.835298,0.015068,3,"3407,1234,2025",boundary_v1,train_proto_v1,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,mean+-std
resnet34_unet_boundary,GlaS,testB,Object Hausdorff,94.929406,7.458766,3,"3407,1234,2025",boundary_v1,train_proto_v1,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,mean+-std
resnet34_unet_boundary,GlaS,testB,Dice,0.920481,0.002371,3,"3407,1234,2025",boundary_v1,train_proto_v1,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,mean+-std
resnet34_unet_boundary,GlaS,testB,IoU,0.860241,0.004373,3,"3407,1234,2025",boundary_v1,train_proto_v1,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,mean+-std
resnet34_unet_boundary,GlaS,testB,HD95,27.309900,0.203468,3,"3407,1234,2025",boundary_v1,train_proto_v1,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,mean+-std
resnet34_unet_boundary,GlaS,testB,Boundary F1,0.714011,0.008353,3,"3407,1234,2025",boundary_v1,train_proto_v1,eval_proto_v1,float32_before_threshold,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,mean+-std
