source_stage,source_manifest,source_protocol_version,source_run_name,consumer_stage,consumer_file,consumption_boundary,stage,dataset,model_name,split_role,metric_name,metric_key,mean,std,n_runs,seeds,aggregation,evidence_status
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_Distance,GlaS,resnet34_unet_distance,testA,F1,f1,0.7453142165543402,0.01987919907609285,3,"3407,1234,2025",mean+-std_population_ddof0,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_Distance,GlaS,resnet34_unet_distance,testA,Object Dice,objdice,0.8263347948110168,0.01925298244761776,3,"3407,1234,2025",mean+-std_population_ddof0,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_Distance,GlaS,resnet34_unet_distance,testA,Object Hausdorff,object_hausdorff,75.1947217937873,10.76917952987956,3,"3407,1234,2025",mean+-std_population_ddof0,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_Distance,GlaS,resnet34_unet_distance,testA,Dice,dice,0.9119582504376473,0.0026437557660353487,3,"3407,1234,2025",mean+-std_population_ddof0,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_Distance,GlaS,resnet34_unet_distance,testA,IoU,iou,0.8460269784770538,0.004418232858898387,3,"3407,1234,2025",mean+-std_population_ddof0,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_Distance,GlaS,resnet34_unet_distance,testA,HD95,hd95,34.764278787904296,3.366509770930529,3,"3407,1234,2025",mean+-std_population_ddof0,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_Distance,GlaS,resnet34_unet_distance,testA,Boundary F1,boundary_f1,0.7563750961949935,0.009076298763371193,3,"3407,1234,2025",mean+-std_population_ddof0,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_Distance,GlaS,resnet34_unet_distance,testB,F1,f1,0.7073107575832034,0.0269811499410972,3,"3407,1234,2025",mean+-std_population_ddof0,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_Distance,GlaS,resnet34_unet_distance,testB,Object Dice,objdice,0.8325270841885901,0.013972728629136894,3,"3407,1234,2025",mean+-std_population_ddof0,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_Distance,GlaS,resnet34_unet_distance,testB,Object Hausdorff,object_hausdorff,90.75350833249381,6.482368738019897,3,"3407,1234,2025",mean+-std_population_ddof0,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_Distance,GlaS,resnet34_unet_distance,testB,Dice,dice,0.9153889228516264,0.009487504941877261,3,"3407,1234,2025",mean+-std_population_ddof0,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_Distance,GlaS,resnet34_unet_distance,testB,IoU,iou,0.8532253684751847,0.014508681432830092,3,"3407,1234,2025",mean+-std_population_ddof0,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_Distance,GlaS,resnet34_unet_distance,testB,HD95,hd95,27.843423315683996,2.91897380580179,3,"3407,1234,2025",mean+-std_population_ddof0,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_Distance,GlaS,resnet34_unet_distance,testB,Boundary F1,boundary_f1,0.7120171613666427,0.012427002503893978,3,"3407,1234,2025",mean+-std_population_ddof0,pass
