source_stage,source_manifest,source_protocol_version,source_run_name,consumer_stage,consumer_file,consumption_boundary,run_name,stage,dataset,model_name,seed,split_role,metric_name,metric_key,metric_value,sample_count,checkpoint_path,checkpoint_sha256,independent_metric_check_path,result_tag,aggregation,evidence_status
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed3407,D2_Distance,GlaS,resnet34_unet_distance,3407,testA,F1,f1,0.7701528514456251,60,experiments/D2_R34UNet_Distance_GlaS_seed3407/checkpoints/best.ckpt,4b07fe556d881303ed28f3b56187bb7dc47b6608a1b42ce92ca63978b3fe75fd,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed3407.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed3407,D2_Distance,GlaS,resnet34_unet_distance,3407,testA,Object Dice,objdice,0.8529445991431763,60,experiments/D2_R34UNet_Distance_GlaS_seed3407/checkpoints/best.ckpt,4b07fe556d881303ed28f3b56187bb7dc47b6608a1b42ce92ca63978b3fe75fd,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed3407.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed3407,D2_Distance,GlaS,resnet34_unet_distance,3407,testA,Object Hausdorff,object_hausdorff,59.97228617237169,60,experiments/D2_R34UNet_Distance_GlaS_seed3407/checkpoints/best.ckpt,4b07fe556d881303ed28f3b56187bb7dc47b6608a1b42ce92ca63978b3fe75fd,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed3407.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed3407,D2_Distance,GlaS,resnet34_unet_distance,3407,testA,Dice,dice,0.915615843192894,60,experiments/D2_R34UNet_Distance_GlaS_seed3407/checkpoints/best.ckpt,4b07fe556d881303ed28f3b56187bb7dc47b6608a1b42ce92ca63978b3fe75fd,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed3407.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed3407,D2_Distance,GlaS,resnet34_unet_distance,3407,testA,IoU,iou,0.851854287682668,60,experiments/D2_R34UNet_Distance_GlaS_seed3407/checkpoints/best.ckpt,4b07fe556d881303ed28f3b56187bb7dc47b6608a1b42ce92ca63978b3fe75fd,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed3407.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed3407,D2_Distance,GlaS,resnet34_unet_distance,3407,testA,HD95,hd95,31.98865834712981,60,experiments/D2_R34UNet_Distance_GlaS_seed3407/checkpoints/best.ckpt,4b07fe556d881303ed28f3b56187bb7dc47b6608a1b42ce92ca63978b3fe75fd,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed3407.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed3407,D2_Distance,GlaS,resnet34_unet_distance,3407,testA,Boundary F1,boundary_f1,0.7671826543069215,60,experiments/D2_R34UNet_Distance_GlaS_seed3407/checkpoints/best.ckpt,4b07fe556d881303ed28f3b56187bb7dc47b6608a1b42ce92ca63978b3fe75fd,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed3407.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed3407,D2_Distance,GlaS,resnet34_unet_distance,3407,testB,F1,f1,0.7309094818150546,20,experiments/D2_R34UNet_Distance_GlaS_seed3407/checkpoints/best.ckpt,4b07fe556d881303ed28f3b56187bb7dc47b6608a1b42ce92ca63978b3fe75fd,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed3407.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed3407,D2_Distance,GlaS,resnet34_unet_distance,3407,testB,Object Dice,objdice,0.8509274203377449,20,experiments/D2_R34UNet_Distance_GlaS_seed3407/checkpoints/best.ckpt,4b07fe556d881303ed28f3b56187bb7dc47b6608a1b42ce92ca63978b3fe75fd,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed3407.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed3407,D2_Distance,GlaS,resnet34_unet_distance,3407,testB,Object Hausdorff,object_hausdorff,82.9933188195697,20,experiments/D2_R34UNet_Distance_GlaS_seed3407/checkpoints/best.ckpt,4b07fe556d881303ed28f3b56187bb7dc47b6608a1b42ce92ca63978b3fe75fd,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed3407.json,screening_only,single_seed,pass
